response_time,response_corr,subject,attention,coherency,prioritization,category,cpp_peak,cpp_slope,cpp_amplitude
0.421184243808966,1,sub-017,right,low,yes,face,1.3378461201847465e-06,1.0270942292614194e-05,1.7851305772619133e-06
0.327997260756092,1,sub-017,double,high,no,face,1.1046317536780915e-06,4.7128629124511194e-05,7.713533460207692e-08
0.23096441362577,1,sub-017,right,high,yes,face,4.4958792724045554e-06,7.301309557634947e-06,3.170687854643898e-06
0.284763860050589,1,sub-017,double,low,no,car,1.956532569709107e-06,-2.1925238151866782e-05,-2.168577191990659e-06
0.516039812151575,1,sub-017,double,low,no,car,1.8421284509746948e-06,-6.033798540736301e-05,-3.771771836403077e-06
0.377974667702802,1,sub-017,left,low,yes,car,7.198718313485495e-07,2.1027609032306443e-05,-1.1144684527448302e-06
0.388671915410669,0,sub-017,double,low,no,face,4.328616207846873e-06,-1.1295967205729237e-06,6.473992435739062e-06
0.311689690570347,1,sub-017,right,high,yes,car,4.5307758777101155e-06,1.9398975059124804e-05,-4.72657129300748e-07
0.383053293116973,0,sub-017,double,low,no,face,1.964944706031426e-05,-8.054593081469371e-05,5.106467654790351e-06
0.251343693977105,1,sub-017,left,high,yes,face,5.402271342438432e-06,6.534813326389623e-05,7.10854731577478e-06
0.155470581856207,1,sub-017,left,low,yes,face,6.507625113004523e-06,5.4619800184449105e-06,4.758758984296665e-06
0.184906048831181,1,sub-017,left,high,yes,face,9.271982896296827e-06,3.892989123627579e-05,2.2381167378780397e-06
0.283371628669556,1,sub-017,left,high,yes,face,2.6218121272518255e-06,5.548748592712156e-05,3.5190436158304154e-07
0.561939592604176,1,sub-017,left,low,yes,face,5.442475163101441e-06,6.620628643999237e-05,2.8575001952934174e-06
0.555352274910547,1,sub-017,left,low,yes,face,7.923193330822012e-06,-1.8885787721697962e-05,2.440215080555287e-06
0.931742086759186,1,sub-017,double,low,no,car,6.496636824945305e-07,9.29638714075327e-06,1.7654087228453206e-07
0.464088924272801,1,sub-017,double,high,no,car,1.9165059688657217e-06,1.5539102153709145e-05,-8.975808854437529e-07
0.346818002799409,1,sub-017,left,high,yes,car,1.4292511848678884e-05,1.9639612485265298e-05,7.373394559866651e-06
0.342568225169089,1,sub-017,double,high,no,face,3.020359450376984e-06,2.7628360910993783e-05,4.379779110588944e-06
0.296576878245105,1,sub-017,double,high,no,face,5.224659911555303e-06,-2.9052680403725467e-05,1.2643770091918196e-06
0.858414554502815,0,sub-017,right,low,yes,car,7.188299243686438e-06,2.2521624813428014e-06,5.683650561622849e-06
0.713039669106365,1,sub-017,left,low,yes,car,4.514993038887933e-06,-9.011881345900679e-06,3.268849353290445e-06
0.276891300265561,1,sub-017,right,high,yes,face,4.013704496804469e-06,-7.891042877379156e-06,5.4962944792438025e-06
0.247370431970921,1,sub-017,double,low,no,car,9.403388839864527e-07,-3.346918510079265e-05,-4.035403113583251e-06
0.445151693988009,0,sub-017,right,low,yes,face,1.2723932700752701e-05,6.553353968870198e-05,9.202018362247457e-06
0.455620806722436,0,sub-017,double,low,no,face,2.251870607049105e-06,2.5366400749931145e-05,2.3127720779120973e-06
0.212640136844129,1,sub-017,left,high,yes,face,9.699673183269003e-06,9.117644357328991e-06,9.66481471182634e-06
0.560829104026197,1,sub-017,double,low,no,car,-5.573552202173818e-07,1.4409973425571982e-05,-3.24416592507914e-06
0.545439014778822,1,sub-017,left,high,yes,car,5.985697648392316e-06,3.2052122122287333e-06,6.592585526064532e-06
0.50309047549672,0,sub-017,right,low,yes,face,9.121423450064358e-06,4.387935150634335e-06,4.024945299239718e-06
0.488519613121753,1,sub-017,right,low,yes,face,2.098769944619252e-08,1.0366015671766905e-05,-5.72134085696909e-07
0.884020863944897,1,sub-017,double,low,no,face,9.155975125102021e-06,3.47277631711196e-05,3.7076242513213273e-06
0.488563328879536,1,sub-017,left,low,yes,face,100.0,6.705413578134781e-05,2.8850771645040522e-06
0.295810771582183,1,sub-017,double,high,no,face,4.585543640421073e-06,-4.036209915888032e-05,-2.603854658326193e-06
0.471126632866799,1,sub-017,right,low,yes,face,7.5517384319824644e-06,-2.8014601872734116e-05,4.156357027426713e-06
0.863181967346463,0,sub-017,right,low,yes,face,8.272676127299835e-06,4.876542185790258e-05,2.6334226846226863e-06
0.437225872185081,0,sub-017,double,low,no,face,6.956402078933788e-06,5.507138588765717e-05,5.4446120340238285e-06
0.361576553565101,1,sub-017,right,high,yes,car,8.629589202132755e-06,-1.7216236818064598e-05,4.34469597784999e-06
0.397012622604962,1,sub-017,right,low,yes,car,7.69684768248856e-06,-1.5710278533950496e-05,5.745961097092001e-06
0.319195081319776,1,sub-017,double,high,no,car,7.340262176338892e-06,1.0549600784880414e-05,2.4103577132252054e-06
0.501677054257016,1,sub-017,double,low,no,car,4.161010402675831e-06,3.0746280761787764e-06,4.147577584970005e-06
0.277101061728899,1,sub-017,double,low,no,car,1.8295707140144736e-05,2.726567446322078e-05,1.2298976919811873e-05
0.639038624169189,0,sub-017,double,high,no,car,7.3840978326156624e-06,3.754236920862204e-05,3.713427870150529e-06
0.380590293265413,1,sub-017,double,high,no,face,7.083347401988451e-06,3.729498959696828e-05,5.94345741584684e-06
0.312798962520901,1,sub-017,left,high,yes,face,5.076781180296682e-06,9.255164554960672e-06,1.4245553477495977e-06
1.09943617851241,1,sub-017,double,high,no,car,5.590373192221453e-06,6.66416476041507e-05,1.930654320480657e-06
0.287179464459769,1,sub-017,double,high,no,face,-1.0101533674062963e-06,-1.6639712129477713e-05,-2.7649625704701153e-06
0.458326346764807,1,sub-017,right,low,yes,face,100.0,2.2304247731096943e-05,4.499003900765283e-06
0.306102468661265,1,sub-017,double,high,no,face,8.56292280903899e-06,7.223993880663178e-05,3.6383599206269794e-06
0.290999125485541,1,sub-017,double,high,no,car,6.581894007178024e-06,8.22131112433817e-06,4.7740226149303814e-06
0.291861520759994,1,sub-017,double,high,no,face,3.8722542519225226e-06,6.372707385626975e-05,3.930995408049358e-06
0.311775935304468,1,sub-017,left,high,yes,car,1.1989856697386857e-06,1.0428543320168984e-05,-8.444784392913406e-07
0.315903368071304,1,sub-017,right,high,yes,car,1.535636378728656e-05,-2.2910955784838738e-05,5.795505650782033e-06
0.51701794929977,1,sub-017,left,low,yes,car,9.178628115219805e-06,1.6465106539686557e-05,6.198860179847578e-06
0.349669791947235,1,sub-017,right,high,yes,car,6.678061350727666e-06,1.701835280875909e-05,4.5636671651255475e-06
0.602188939825282,0,sub-017,double,low,no,car,1.1455265361296879e-05,1.034921027772619e-05,1.1502744419083977e-05
0.463924169816892,1,sub-017,double,high,no,car,4.926909046063646e-06,1.572626977576496e-05,3.076239419810273e-06
0.340980948531069,1,sub-017,right,low,yes,car,1.4502743310198914e-05,-5.855826873002893e-05,1.1387703120373278e-05
0.359344651835272,1,sub-017,left,low,yes,car,1.2752683881062844e-05,8.376291957337065e-05,8.710346969156698e-06
0.387455800955649,1,sub-017,right,high,yes,car,6.479147323401411e-06,-6.007134457366525e-06,5.411012876201198e-06
0.267405288133887,1,sub-017,double,high,no,face,6.987818283007621e-06,5.265718749353541e-05,7.878971060386513e-06
1.43541403078416,0,sub-017,double,low,no,face,1.2611651349427238e-05,3.077909224777178e-05,4.214374918464481e-06
0.524874817594537,1,sub-017,right,low,yes,face,9.280866033942509e-06,6.747712682648252e-05,2.6572552832779294e-06
0.400888391857734,1,sub-017,right,low,yes,face,-4.914746886003264e-06,3.1058719630649314e-05,-9.452809193332112e-06
0.413682525264448,1,sub-017,right,high,yes,face,8.352786944757916e-06,3.2421255825922106e-05,4.206227143691284e-06
0.391622112889308,1,sub-017,left,low,yes,car,1.582896857412757e-06,5.086368819434785e-06,-3.120070908561257e-06
0.429379751833039,1,sub-017,left,high,yes,face,5.6678290009455915e-06,-4.68820301161727e-06,4.745045113769646e-06
0.352923024096526,1,sub-017,double,high,no,car,1.4856867691337033e-05,2.1104779813057372e-05,8.179354491718532e-06
0.341818887274712,1,sub-017,double,low,no,face,7.3922544261906925e-06,2.4958081261692566e-05,-7.500526180061312e-08
0.339874408338801,1,sub-017,double,high,no,face,1.053441257884698e-05,2.6623827598417256e-05,7.694453508878367e-06
0.6137230937602,1,sub-017,right,low,yes,face,7.82214552751533e-06,9.911707805666228e-06,2.9075207336993555e-06
0.349619935936062,1,sub-017,double,high,no,car,100.0,-2.3092823256577206e-05,-2.3308053216283925e-06
0.475811075099045,1,sub-017,right,low,yes,face,3.8956670151690755e-06,1.4614069920850391e-05,-8.849061627663776e-08
0.724888792421552,1,sub-017,double,low,no,car,9.915667542453286e-06,1.629648824696354e-05,7.599916957772873e-06
0.358721679353039,1,sub-017,right,high,yes,face,7.66148500308836e-06,4.235361053765643e-05,8.368688266407104e-06
0.396362812636653,1,sub-017,double,low,no,face,4.1715115894211734e-07,-3.072969776724404e-05,5.425886029768373e-07
0.820390802051406,1,sub-017,double,high,no,face,1.2902101194003911e-06,4.492798031487433e-05,8.690272044080931e-07
0.351761348472792,1,sub-017,double,low,no,car,7.5598597038014036e-06,-1.1121039758875924e-05,4.374121536572877e-06
0.449205963610439,1,sub-017,double,low,no,car,6.610568510777803e-06,5.353559420857951e-05,3.904685095241393e-06
0.412054354223073,1,sub-017,left,low,yes,car,3.5892690928907557e-07,-5.075478411221449e-06,-9.152178105485343e-07
0.3926703305915,0,sub-017,double,low,no,face,100.0,2.9768929036306978e-05,2.0685689934688764e-06
0.435900653712451,1,sub-017,left,low,yes,car,8.039267739711976e-06,4.3067273232883794e-05,5.264664393199071e-06
0.363758552004583,1,sub-017,double,high,no,face,1.3216093721436224e-05,6.918090328463614e-06,8.585511840186096e-06
0.593246158910915,1,sub-017,left,low,yes,face,7.103059828918819e-06,4.6824802327832804e-05,7.043612622843855e-06
0.56800508039305,1,sub-017,double,low,no,car,6.052830558252083e-06,-2.5117673244327448e-05,1.7928365326793223e-06
0.376657681845245,1,sub-017,double,low,no,car,8.289838799341464e-06,9.891620217418776e-05,4.642978183200786e-06
0.67652080982225,1,sub-017,right,low,yes,car,7.4015956988216735e-06,-1.2777706850356831e-05,3.277019071862384e-06
0.549746259057429,1,sub-017,double,low,no,face,4.331028112664027e-06,2.8009104000909537e-05,-2.1059372134074095e-06
0.321460844046669,1,sub-017,left,high,yes,car,6.0291345186242375e-06,-6.732712452453465e-06,1.8620560390574157e-06
0.351622371628764,1,sub-017,double,high,no,face,6.154700640232718e-06,4.53807213716949e-05,4.340335301639874e-06
0.336417159385746,1,sub-017,left,low,yes,car,7.376909542012509e-06,1.4433470314328805e-06,5.439354075395147e-06
0.408032552324585,1,sub-017,double,high,no,face,9.697554934568657e-06,1.4273620854656535e-05,-3.9336303579423333e-07
0.365899857555632,1,sub-017,right,high,yes,face,1.0216824946660545e-05,-1.9120125712177184e-06,6.6196005847882214e-06
0.30605509065208,1,sub-017,right,high,yes,car,6.676773746746554e-06,4.686173131467198e-05,2.0198968566597255e-06
0.29273824163829,1,sub-017,left,high,yes,face,1.807008375575259e-06,1.348761387312374e-05,-1.2618846785258171e-06
0.371118927694624,1,sub-017,left,high,yes,car,2.4785502571146096e-06,-1.396397526472539e-06,-2.369043698081643e-06
